FName(String),LName(String),Gender(String),AreaCode(String),Phone(String),City(String),State(String),Zip(String),MaritalStatus(String),HasChild(String)
Yigal,Conti,M,808,3784032,KAPOLEI,HI,96709,S,N
Shunji,Shimasaki,M,302,2773292,LEWES,DE,19958,M,Y
Bir,Kerchoff,F,614,4891168,VALLEY CITY,OH,44280,S,N
Henke,Lafora,F,206,3307679,BICKLETON,WA,99322,S,Y
Lihong,McAllester,F,707,6825022,HAWAIIAN GARDENS,CA,90716,S,N
Saumya,Welker,M,228,5604829,COFFEEVILLE,MS,38922,S,N
Donall,Feigelson,F,202,8137370,WASHINGTON,DC,20098,S,N
Vijayaraghavan,Veeraraghavan,F,469,6184439,CORPUS CHRISTI,TX,78404,S,Y
Warwick,Khatri,F,573,7858805,NEW LONDON,MO,63459,M,Y
Fethi,Standera,F,256,1013817,GEORGIANA,AL,36033,S,Y
Randi,Favero,M,970,2214568,MESA,CO,81643,S,Y
Helnye,Cucka,M,507,5496430,WATERVILLE,MN,56096,M,N
Gustovo,Baldoni,F,409,7472320,VICTORIA,TX,77905,M,N
Kongshi,Deemter,F,754,8246029,DAYTONA BEACH,FL,32114,S,Y
Niclas,Jungen,F,808,1969513,HANALEI,HI,96714,S,N
Anoop,Weston,F,925,9039737,LOS ANGELES,CA,90079,S,Y
Margita,Dowden,M,419,9004155,NEW WASHINGTON,OH,44854,S,Y
Vidya,Weistroffer,F,612,3774606,DETROIT LAKES,MN,56502,M,N
Rei,Rayne,M,701,5885797,LANSFORD,ND,58750,S,Y
Baiju,Chitil,F,606,6994410,LOUISVILLE,KY,40272,S,Y
Hyungjeong,Landvogt,F,720,9793978,DENVER,CO,80205,M,Y
Qin,Leunen,F,617,6169886,FITCHBURG,MA,1420,S,N
Barinderpal,Kirani,F,404,6099593,KENNESAW,GA,30144,S,N
Krystyna,Ishai,F,208,3485724,MEDIMONT,ID,83842,S,Y
Djelloul,Iida,F,262,4014406,GLEN FLORA,WI,54526,S,N
Atsuo,Gaubert,M,270,6195143,MC DANIELS,KY,40152,S,Y
Dhaval,Littlefield,F,308,2136192,DUNCAN,NE,68634,M,Y
Pandu,Martella,M,260,4746143,GOODLAND,IN,47948,S,Y
Baoan,Swist,M,580,6723564,OKLAHOMA CITY,OK,73162,S,Y
Andra,Bayraktar,F,202,1922765,WASHINGTON,DC,20314,S,N
Jaume,Shippy,M,803,9259817,ANDERSON,SC,29621,S,Y
Barton,Brodner,M,603,5179366,BARNSTEAD,NH,3218,M,Y
Kiyoharu,Barkley,M,320,3554175,MILAN,MN,56262,M,N
Seyit,Cassel,F,985,9195173,OAK RIDGE,LA,71264,M,Y
Moni,Spuler,F,605,2357060,TUTHILL,SD,57574,M,N
Anya,Kading,F,401,7459255,EAST GREENWICH,RI,2818,S,Y
Sreenivas,Conheeney,M,912,1755449,COHUTTA,GA,30710,M,N
Layman,Bhuyan,M,816,4627199,JOPLIN,MO,64801,M,Y
Bir,Gradek,F,315,1117003,NORTH TONAWANDA,NY,14120,M,N
Oksana,Vanherpe,F,775,4417641,ELKO,NV,89802,S,N
Ganesan,Budimac,M,708,3986650,CHESTER,IL,62233,S,N
Morgan,Pietra,M,208,5669992,SWAN VALLEY,ID,83449,M,Y
Xianlong,Uehara,F,973,5078929,FAIRTON,NJ,8320,M,N
Nimar,Kahale,F,505,7681872,KIRTLAND AFB,NM,87117,M,Y
Gaetano,Candan,F,906,1194086,ARGYLE,MI,48410,M,N
Meenakshi,Pedrotti,F,406,3643022,MISSOULA,MT,59801,S,N
Atsuo,Gomatam,M,808,8801391,LAHAINA,HI,96767,S,N
Yoneo,Flank,M,913,2276991,LEON,KS,67074,M,N
Mahadev,Papadias,M,509,5337478,LANGLEY,WA,98260,M,N
Mart,Wenban,M,207,7052347,STRATTON,ME,4982,M,N
Sabyasachi,Pinkston,F,803,6742699,GARNETT,SC,29922,S,Y
Topher,Etoh,M,302,5336651,NEWARK,DE,19702,M,Y
Teageun,Nourani,F,207,3049249,SABATTUS,ME,4280,M,Y
Samira,Schmill,M,502,1838073,MURRAY,KY,42071,M,N
Edin,Dangedej,M,307,2476691,LOVELL,WY,82431,S,N
Akimou,Rebaine,F,808,7201455,LAIE,HI,96762,S,Y
Bienvenido,Oelmann,M,513,7701867,EAST SPRINGFIELD,OH,43925,M,N
Hiromichi,Sreerama,F,503,7497914,TURNER,OR,97392,S,Y
Iwao,Pimm,F,479,5941556,LAKE VILLAGE,AR,71653,S,N
Majid,Ackley,F,970,6053953,COLORADO SPRINGS,CO,80915,S,Y
Gang,Lahner,M,585,9141386,PUTNAM VALLEY,NY,10579,S,N
Qiwen,Rengarajan,M,307,4412144,LONETREE,WY,82936,S,N
Agenor,Luby,F,509,7847547,TUMTUM,WA,99034,S,N
Jega,Beyers,F,740,7029984,HOYTVILLE,OH,43529,S,N
Julian,Apperley,M,939,5732992,SAN JUAN,PR,929,M,Y
Jianhua,Zodik,F,505,9427026,KENNA,NM,88122,S,N
Serhan,Lovett,M,860,3311336,TRUMBULL,CT,6611,M,N
Jiyu,Vrckovnik,F,401,2805016,PEACE DALE,RI,2883,M,Y
Ruddy,Heiner,M,503,6485534,TROUTDALE,OR,97060,M,Y
Hakjong,Cui,F,620,5904419,TOPEKA,KS,66637,S,N
Evaggelia,Dustdar,M,907,7357281,HOONAH,AK,99829,S,Y
Iordana,Baumker,M,907,4536278,BIG LAKE,AK,99652,S,N
Neelam,Kawagoe,M,501,3459395,GREENWAY,AR,72430,S,Y
Nanda,Ciardo,F,248,7858033,DEARBORN,MI,48120,M,Y
Eija,Rijckaert,M,615,7163377,MARYVILLE,TN,37803,S,N
Sajid,Rajkumar,F,808,9797993,HONOLULU,HI,96814,M,N
Sreenath,Krablin,M,787,4556129,SAN JUAN,PR,908,M,N
Miki,Lindberg,M,574,7353175,FORT WAYNE,IN,46858,S,Y
Kwangsub,Pequeno,M,503,4552255,GOVERNMENT CAMP,OR,97028,M,N
Idoia,Sauder,F,351,3441616,WINCHENDON SPRINGS,MA,1477,M,Y
Liliana,Kochskamper,M,505,6118776,CAPROCK,NM,88213,M,Y
Vaagan,Herlea,F,989,3013189,REMUS,MI,49340,S,Y
Alexius,Nassif,F,860,3331486,HARTFORD,CT,6176,S,N
Romas,Sandoe,M,630,6101329,DOWELL,IL,62927,S,Y
Shafeek,Serbanati,M,307,8195193,LEITER,WY,82837,M,N
Dayun,Gihr,F,678,1019390,ATLANTA,GA,31120,S,Y
Magy,Lobelle,M,402,1528487,LONG PINE,NE,69217,S,N
Jeretta,Reutov,F,202,8406350,WASHINGTON,DC,20240,S,Y
Willi,Fadgyas,F,785,7077429,TAMPA,KS,67483,M,Y
Kokichi,Jumpertz,F,202,6578626,WASHINGTON,DC,20040,S,Y
Navdeep,Heinle,F,901,4407545,MEMPHIS,TN,38188,M,N
Sanzheng,Simutis,M,920,7321036,BLACK RIVER FALLS,WI,54615,M,Y
Inbal,Monderer,M,304,2647606,POINTS,WV,25437,S,Y
Wissal,Katsaggelos,F,862,2053635,TUCKERTON,NJ,8087,S,N
Yojiro,Cochrane,F,202,8718230,WASHINGTON,DC,20226,M,Y
Dayanand,Ilie,M,307,6473023,WHEATLAND,WY,82201,M,Y
Ramaswami,Cox,F,503,5328825,DEXTER,OR,97431,M,Y
Laurie,Usas,M,601,5458293,TOCCOPOLA,MS,38874,S,Y
Liuba,Miculan,F,303,5151605,DUPONT,CO,80024,S,N
Cecile,Sanabria,F,202,8694750,WASHINGTON,DC,20013,M,Y
Fedor,Mackey,M,808,3187072,KAUNAKAKAI,HI,96748,M,N
Opher,Lafond,F,980,9064990,BARNARDSVILLE,NC,28709,M,Y
LiWu,Brownfield,M,808,5583482,EWA BEACH,HI,96706,M,N
Salil,Clo,M,401,7334916,BLOCK ISLAND,RI,2807,S,Y
Magid,Calisti,F,603,2667152,SUGAR HILL,NH,3586,M,N
Eran,Schappert,F,406,5364997,CARDWELL,MT,59721,M,Y
Yonghuai,Anson,M,603,9149601,DERRY,NH,3038,M,N
Grigore,Prieditis,F,907,2689092,CHEFORNAK,AK,99561,M,Y
Carin,Ghelli,F,318,7097636,KELLY,LA,71441,M,N
Juzhen,Sssuwa,F,406,4783473,CAMERON,MT,59720,M,N
Seiichi,Chi,M,228,3603494,ARCOLA,MS,38722,S,N
Soheil,Lakhani,M,775,4528989,LAS VEGAS,NV,89178,M,Y
Nayyer,Baur,M,864,3082869,GROVER,SC,29447,M,Y
Wilburt,Syrzycki,M,260,3326711,TOPEKA,IN,46571,M,Y
Edwina,Glockner,M,248,5167979,GRAND BLANC,MI,48439,M,N
Neli,Lanin,M,857,6355783,SUTTON,MA,1590,M,N
Jurg,Widera,F,208,6977685,MERIDIAN,ID,83642,M,Y
Matrina,Hartroth,F,360,3338269,TAHUYA,WA,98588,S,N
Seijo,Carrigan,F,310,6872005,SOUTH SAN FRANCISCO,CA,94083,S,N
Imsong,Eves,F,520,5184629,PHOENIX,AZ,85024,S,Y
Atsuo,Badr,M,859,3761790,MAPLE MOUNT,KY,42356,M,N
Sophie,Blu,M,301,8722817,CRAPO,MD,21626,M,Y
Dines,Jurdjevic,F,505,3943188,ABIQUIU,NM,87510,M,N
Olac,Agarawala,M,662,2428714,CHUNKY,MS,39323,M,N
Monia,Maciel,F,412,3137588,ORVISTON,PA,16864,M,Y
Husam,Bergsten,M,973,1152117,ASBURY,NJ,8802,M,N
Yongwon,Charissis,F,386,8998173,SANFORD,FL,32773,S,N
Kerttu,Seidmann,F,802,2726038,NORTH MONTPELIER,VT,5666,S,Y
Athomas,Bear,M,302,2661198,WILMINGTON,DE,19803,M,N
Sorel,Maguire,F,918,7633696,ADDINGTON,OK,73520,M,N
Achim,Pino,M,970,5868770,LAKE GEORGE,CO,80827,S,N
Geunbae,Seredynski,F,814,9908703,WIND GAP,PA,18091,M,Y
Yael,Ravindranathan,F,865,8089116,SLAYDEN,TN,37165,M,N
Rimli,Favero,F,907,4481771,LEVELOCK,AK,99625,S,N
Edison,Stroet,F,605,7998667,ENNING,SD,57737,M,Y
Flemming,Murro,F,650,5442085,BERKELEY,CA,94705,M,N
Barbee,Pollermann,F,320,6195701,CAMBRIDGE,MN,55008,M,N
Carles,Ouchi,M,347,9469552,MECKLENBURG,NY,14863,S,N
Jermy,Pezzoli,F,708,6531297,MOWEAQUA,IL,62550,S,N
Pramode,Parnes,F,540,2212383,ALEXANDRIA,VA,22304,S,N
Zhimming,Taimanov,F,612,9001570,CLINTON,MN,56225,M,Y
Pawan,Krauser,F,843,7209753,MOUNT PLEASANT,SC,29465,M,Y
Sissel,Richter,M,401,9629486,COVENTRY,RI,2816,M,N
Eyeun,Kaelbling,M,509,2666653,BELLEVUE,WA,98015,M,Y
Yungho,Calvin,M,503,8858770,JORDAN VALLEY,OR,97910,M,N
Celine,Kadobayashi,F,651,6931050,HOFFMAN,MN,56339,S,N
Nectarios,Pistor,M,228,8407680,PINOLA,MS,39149,S,Y
Linda,Decleir,F,401,9675362,PASCOAG,RI,2859,S,Y
Hou,Sedobgo,F,918,9131616,QUINTON,OK,74561,S,N
Edil,Bebjak,M,515,7639250,PERSIA,IA,51563,S,Y
Lucien,Brookman,M,603,4484340,NEWTON JUNCTION,NH,3859,S,Y
Gavriela,Rabejac,F,407,5338625,SARASOTA,FL,34241,S,Y
Dennis,Balsters,M,706,1888148,SAVANNAH,GA,31408,S,N
Jamal,Olien,M,702,7397935,RUTH,NV,89319,M,Y
Tilak,Portinale,M,505,3045926,GAMERCO,NM,87317,M,N
Wilsin,Doucet,F,304,3574110,DELRAY,WV,26714,S,Y
Anirvan,Machin,F,808,9027824,HONOLULU,HI,96827,M,N
Francis,Chickermane,F,856,7704642,SUCCASUNNA,NJ,7876,M,Y
Hiralal,Gomatam,M,307,8083371,KAYCEE,WY,82639,M,Y
Barrett,Billard,F,307,4051313,FORT LARAMIE,WY,82212,S,N
Rana,Tomescu,M,701,2692156,REGENT,ND,58650,M,Y
Gleb,Snedden,M,864,9349661,SUMTER,SC,29150,S,N
Lutz,Zaimov,M,830,4109117,HOUSTON,TX,77235,S,Y
Jefry,Pose,F,574,6837321,CHARLOTTESVILLE,IN,46117,S,Y
Rhon,Theys,F,573,7542482,DUTCHTOWN,MO,63745,S,N
Huu,Yemeni,F,801,1215195,FERRON,UT,84523,S,Y
Schahram,Pequeno,F,309,2643992,CHICAGO,IL,60640,S,N
Alka,Meijer,M,505,8884901,SAN CRISTOBAL,NM,87564,M,Y
Noppanunt,Krinik,F,318,9296259,SPRINGHILL,LA,71075,M,N
Woo,Hibbard,M,605,8417315,WOONSOCKET,SD,57385,M,N
Haleh,Higuchi,F,270,4439508,SECO,KY,41849,M,N
Chidanand,Pemmaraju,M,228,3973045,THAXTON,MS,38871,S,N
Friedbert,Carrico,F,253,3841420,CONNELL,WA,99326,M,N
Jamel,Geraci,F,401,4953841,WEST KINGSTON,RI,2892,S,N
Arthur,Postmus,M,479,6764974,RUSSELLVILLE,AR,72812,M,Y
Hirohisa,Lunbeck,M,808,4096745,VOLCANO,HI,96785,S,N
Seonghun,Simoni,M,404,8069414,WESTON,GA,31832,M,Y
Okan,Weishar,F,605,2078947,VIBORG,SD,57070,S,Y
Jorrge,Lienert,F,270,3167835,HAMPTON,KY,42047,M,N
Leiming,Masullo,F,918,2832622,HOPETON,OK,73746,M,Y
Ismaeil,Frisby,M,978,2708194,MARION,MA,2738,M,Y
Naoki,Strausfeld,F,731,4814797,CHARLOTTE,TN,37036,M,N
Zsolt,Forcheri,M,417,1976054,LAREDO,MO,64652,M,Y
Manibrata,Maloney,F,931,6773284,FAIRVIEW,TN,37062,S,N
Lothar,Gramp,M,775,8212013,BATTLE MOUNTAIN,NV,89820,M,N
Liuba,Koblitz,F,910,5547675,RALEIGH,NC,27675,M,Y
Yeogirl,Rosiles,M,947,5205865,STERLING HEIGHTS,MI,48314,M,Y
Yoshikane,Purday,F,406,6446397,BUTTE,MT,59702,S,Y
Venkatavasu,Masullo,M,316,1024766,ARNOLD,KS,67515,M,N
Roldolf,Csaba,M,843,4375815,UNA,SC,29378,M,Y
Ramarao,Thacker,M,814,1795890,GROVE CITY,PA,16127,S,N
Saverio,Salmen,F,423,6876659,LANCASTER,TN,38569,M,N
Cen,Schaub,M,843,8834805,CHARLESTON,SC,29492,S,Y
Felipe,Moghrabi,M,816,1454039,PATTONSBURG,MO,64670,S,Y
Hazim,Prampolini,F,907,6774041,GALENA,AK,99741,M,N
Tadeusz,Nozawa,F,203,5369266,GEORGETOWN,CT,6829,S,Y
Gerco,Hiroike,F,612,5911246,LASTRUP,MN,56344,M,N
Mahendra,Podkolzin,F,508,2536368,LOWELL,MA,1854,M,N
Tiziana,Rosar,F,865,4241743,SLAYDEN,TN,37165,S,N
Jobst,Kocis,F,662,5813640,COLUMBUS,MS,39701,M,N
Yuuji,Klosgen,M,978,3847112,BRIMFIELD,MA,1010,M,Y
Anindya,Canas,M,603,7263485,NASHUA,NH,3062,M,Y
Marlis,Isaac,M,787,6518226,CANOVANAS,PR,729,M,N
Serban,Carre,F,612,2336323,SAINT VINCENT,MN,56755,S,Y
Elspeth,Vutukuru,M,501,1113207,NASHVILLE,AR,71852,S,N
Tsunehiko,Giraffa,F,218,5273430,TWIN LAKES,MN,56089,M,Y
Lourdes,Everling,F,770,5424027,SURRENCY,GA,31563,S,Y
Aron,Plumer,M,732,4291274,NEPTUNE,NJ,7754,S,N
Rajendra,Bourbakis,F,401,4283357,WAKEFIELD,RI,2880,S,N
Pierto,Grandbois,M,303,1586776,DINOSAUR,CO,81610,M,N
Jingling,Partee,F,939,7542978,MERCEDITA,PR,715,M,N
Piyawadee,Cakic,M,585,4307604,GLENFIELD,NY,13343,S,Y
Tadaaki,Oelmann,F,702,6388566,MC DERMITT,NV,89421,S,N
Jussara,Rande,F,509,5547247,SEATTLE,WA,98107,S,Y
Suhas,Pavlova,F,847,8718761,LELAND,IL,60531,M,N
Huapeng,Kinter,M,760,3896926,LOMA LINDA,CA,92357,M,Y
Akiko,Lessing,M,309,3758969,DANVILLE,IL,61834,M,Y
Prabal,Loganantharaj,M,808,7614685,J B P H H,HI,96860,M,Y
Avshalom,Wothke,F,505,8283110,ROY,NM,87743,M,Y
Teri,Houtsma,F,608,9109527,COMSTOCK,WI,54826,M,Y
Line,Ritondale,F,248,4332581,SOUTHFIELD,MI,48034,S,N
Eldad,Moshman,M,228,5781831,PEARL,MS,39288,S,N
Xianlong,Larcher,F,702,7536897,MANHATTAN,NV,89022,M,Y
Juliano,Thenmozhi,M,787,2549468,GUAYAMA,PR,785,S,N
Surya,Bruha,F,304,5348096,FALLING WATERS,WV,25419,S,Y
Veli,Ryslinkova,F,912,8477031,AUGUSTA,GA,30904,S,N
Sergej,Zukowski,F,567,4714726,SARDINIA,OH,45171,S,N
Moto,Leemis,F,406,6453949,SANDERS,MT,59076,S,Y
Sylvanus,Forman,F,720,9751420,HOT SULPHUR SPRINGS,CO,80451,M,N
Alicja,Radhakrishnan,M,434,3532800,TOWNSEND,VA,23443,S,Y
Sanjai,Dovidio,M,402,4716457,LEWELLEN,NE,69147,S,Y
Cor,Zlatin,F,787,2915969,AGUADILLA,PR,605,M,N
Kenta,Schwaller,M,603,4785359,SANBORNTON,NH,3269,S,N
Armando,Manukyan,M,239,6112938,DAYTONA BEACH,FL,32126,M,N
Daeweon,Wolniewicz,M,808,5746450,HONOLULU,HI,96818,S,N
Viswanathan,Cheriton,F,517,8954038,BATTLE CREEK,MI,49017,S,Y
Fatemeh,Knauff,M,605,8651123,SIOUX FALLS,SD,57105,S,N
Pepijn,Larus,F,478,9085680,SYLVESTER,GA,31791,S,N
Derrick,Krzyzanowski,M,202,1505486,WASHINGTON,DC,20544,M,N
Dipti,Lidstone,M,847,5577625,MILAN,IL,61264,M,N
Qijia,Miner,M,859,2836351,PIKEVILLE,KY,41502,S,Y
Renwei,Muhlen,F,208,3318745,LEWISTON,ID,83501,S,N
Shinkyu,Ivanova,F,801,9662868,SALT LAKE CITY,UT,84184,S,N
Barun,Viehstaedt,M,918,1309137,OKLAHOMA CITY,OK,73190,M,N
Kazuhiro,Duncan,F,260,2254821,ORA,IN,46968,M,Y
Adnan,Weedman,F,339,9883577,GRAFTON,MA,1519,M,Y
Emilia,Alfaro,M,317,9332397,LINCOLN CITY,IN,47552,M,N
Jamel,Sinofsky,F,406,5814177,SUN RIVER,MT,59483,S,Y
Reinhold,Postley,F,251,4979781,BYNUM,AL,36253,S,Y
Yeogirl,Shallof,M,251,4547933,ARAB,AL,35016,S,Y
Sayed,Menhardt,M,808,1741821,HANA,HI,96713,M,N
Sethu,Commoner,M,812,2013071,INDIANAPOLIS,IN,46230,M,Y
Fumitake,Egerstedt,M,207,6021836,FREEDOM,ME,4941,S,Y
Bilhanan,Perkins,M,406,3881604,WINSTON,MT,59647,S,N
Mouloud,Goodwyn,F,318,9778956,SHREVEPORT,LA,71105,M,Y
Moriyoshi,Inaba,F,802,8898381,BAKERSFIELD,VT,5441,M,N
Woojin,Dunbar,M,315,7691986,LIMESTONE,NY,14753,S,Y
Aqeel,Kratochvil,M,435,4003995,OGDEN,UT,84404,M,Y
Sofya,Stornetta,M,617,4075630,READING,MA,1867,M,Y
Maryline,Grue,M,207,2408237,DIXFIELD,ME,4224,S,Y
Leon,Thielscher,F,503,9237557,BANDON,OR,97411,M,N
Alvis,Liesche,F,623,4455492,TUCSON,AZ,85731,M,Y
Edda,Randt,F,808,8501500,FORT SHAFTER,HI,96858,S,Y
Ethem,Milgram,M,843,7659778,PLUM BRANCH,SC,29845,S,Y
Prasad,Fanty,F,701,8808670,HUNTER,ND,58048,S,Y
Thore,Balaji,M,541,6146873,MULINO,OR,97042,M,N
Rogers,Swiss,F,503,5078934,GERVAIS,OR,97026,S,N
Jainendra,Dingus,M,808,8447626,HILO,HI,96721,M,Y
Ciyou,Veretennikov,M,907,7219273,BUCKLAND,AK,99727,S,Y
Petr,Mukouchi,F,505,4833862,NAVAJO DAM,NM,87419,S,N
Imran,Double,M,304,3052062,LESAGE,WV,25537,S,Y
Sreerupa,Straubing,M,808,1703409,KAHULUI,HI,96732,S,Y
Alicia,Tsunoo,M,864,7054571,LANCASTER,SC,29722,S,N
Uzi,Ianni,F,401,5432646,FOSTER,RI,2825,S,Y
Yanggon,Allison,M,303,4509273,CONEJOS,CO,81129,S,N
Hansjurgen,Edupuganty,M,701,8198190,STREETER,ND,58483,M,Y
Ezhan,Reese,M,701,4272711,TOWNER,ND,58788,M,Y
Gregg,Montalbano,F,203,6817347,NEW PRESTON MARBLE DALE,CT,6777,S,Y
Duong,Ogurol,F,775,4242528,ELY,NV,89315,M,Y
Dainis,Rezende,F,808,7886048,MAKAWELI,HI,96769,M,N
Hairuo,Broggi,M,307,6107806,ELK MOUNTAIN,WY,82324,M,Y
Ludwig,Stille,M,337,5227800,BARATARIA,LA,70036,S,Y
Zakarriae,Tibblin,F,256,1323893,HUNTSVILLE,AL,35810,S,Y
Rollins,Raufmann,M,763,6595236,DULUTH,MN,55804,M,Y
Srilekha,Olveszky,F,479,4772787,BLYTHEVILLE,AR,72316,M,Y
Jennie,Dang,M,702,8671109,SILVERPEAK,NV,89047,S,N
Ryohei,Ramaiah,M,850,6464950,SAINT JAMES CITY,FL,33956,M,Y
Rolland,Caulk,F,228,9601103,RAYMOND,MS,39154,M,N
Keikichi,Huhdanpaa,M,701,9664640,PETTIBONE,ND,58475,S,Y
Sajjad,Maguire,F,207,4219636,PASSADUMKEAG,ME,4475,S,N
Geraud,Rosenquist,M,603,6429012,MOULTONBOROUGH,NH,3254,M,N
Hergen,Walstra,F,360,8071591,TEKOA,WA,99033,S,Y
Nabil,Fontan,M,502,1968467,FALMOUTH,KY,41040,S,Y
Brailey,Rackoff,F,608,2238184,GALESVILLE,WI,54630,M,Y
Sangeeta,Isshiki,M,561,5235383,COCOA,FL,32927,S,N
Jacobijn,Tatsuta,F,507,6049897,MILAN,MN,56262,S,Y
Yakichi,Clonts,F,304,7019248,CHLOE,WV,25235,S,Y
Eenjun,Kartha,F,701,3847476,SAINT THOMAS,ND,58276,S,N
Mingshang,Antognini,M,920,4398188,MAPLE,WI,54854,M,Y
Donyaprueth,Mattison,F,401,4125900,BRADFORD,RI,2808,S,Y
Brijesh,Gurzi,F,614,4605737,HUDSON,OH,44237,S,N
Maguelonne,Hoffner,M,307,1171836,ALADDIN,WY,82710,M,Y
Masud,Bach,F,307,7416627,RALSTON,WY,82440,S,Y
Shaul,Schwertel,F,480,3291090,PHOENIX,AZ,85006,M,N
Venkat,Charretton,F,406,1489114,BYNUM,MT,59419,S,Y
Gurdip,Frisch,M,703,4518215,MARYUS,VA,23107,M,N
Tirtza,Thamm,F,318,3215896,GILLIAM,LA,71029,S,N
Maguelonne,Huthnance,M,434,5649653,HILLSVILLE,VA,24343,S,N
Neta,Faron,F,302,6989995,WILMINGTON,DE,19884,M,N
Frederick,Niamir,M,603,8516150,MANCHESTER,NH,3101,M,Y
Zhuojun,Guan,F,701,2132643,CRARY,ND,58327,S,N
Leopold,Haudot,M,602,8355785,YUMA,AZ,85364,S,Y
Elspeth,Eskesen,M,402,5516125,CALLAWAY,NE,68825,S,N
Shibu,Goes,F,408,5222412,SANTA CLARITA,CA,91350,S,N
Kanchana,Gerteisen,M,912,1912540,ATLANTA,GA,30364,M,N
Talal,Bruhl,M,605,1172674,INTERIOR,SD,57750,M,N
Ingar,Suwa,F,501,1387510,RISON,AR,71665,M,Y
Hikyu,Bannelier,M,605,2977202,SIOUX FALLS,SD,57106,S,N
Xiaolei,Babai,M,317,3596513,TEFFT,IN,46380,S,N
Fulong,Vignes,M,405,8342720,LEONARD,OK,74043,M,Y
Radhika,Vaisey,M,802,3886277,SOUTH ROYALTON,VT,5068,M,Y
Svatopluk,Purkayastha,F,504,2503383,THIBODAUX,LA,70310,S,Y
Darwin,Rahier,M,308,6308904,LEXINGTON,NE,68850,M,N
Risto,Cronan,F,276,2113924,GLEN WILTON,VA,24438,S,Y
Wifried,Keay,F,504,2804266,PORT BARRE,LA,70577,S,Y
Nami,Covvey,F,505,1983494,RIBERA,NM,87560,M,Y
Henry,Beukering,F,302,9086640,WILMINGTON,DE,19896,S,N
Masahisa,Anido,M,207,8615405,SHIRLEY MILLS,ME,4485,S,Y
Anastasios,Hertweck,M,228,4566810,MANTEE,MS,39751,M,Y
Maik,Mertsiotakis,F,210,7597811,SAN ANTONIO,TX,78251,M,N
Vannevar,Butner,F,205,8657491,MOBILE,AL,36625,S,Y
Keishi,Dinkhoff,F,801,9001277,JUNCTION,UT,84740,M,Y
Toney,Kadyamatimba,M,864,7933067,COLUMBIA,SC,29201,M,N
Goker,Kunchithapadam,F,703,1235755,OLDHAMS,VA,22529,M,N
Evanthia,Furner,M,757,4014923,CHARLOTTESVILLE,VA,22909,M,N
Concettina,Wendel,M,414,3206784,PRENTICE,WI,54556,S,Y
Virginia,Moshman,F,980,3292657,LENOIR,NC,28645,M,N
Subhasish,Gagvani,M,870,1815161,STRAWBERRY,AR,72469,S,N
Igor,Shimamura,F,859,4511398,DUNDEE,KY,42338,M,N
Hujun,Lucco,F,302,3048340,DOVER,DE,19901,M,Y
Naima,McDermid,M,808,7719725,HONOLULU,HI,96814,M,N
Jaroslava,Lesser,M,850,7691019,EVERGLADES CITY,FL,34139,M,Y
Chester,Thees,M,828,1104663,ASHEVILLE,NC,28805,S,Y
Shyjan,Hedges,F,503,2342050,BAKER CITY,OR,97814,M,N
Arantza,Stampfel,M,661,5865687,CAMINO,CA,95709,S,N
Kepa,Foret,M,301,5799272,DUNDALK,MD,21222,M,N
Fran,Belcastro,F,701,4403286,PEMBINA,ND,58271,M,N
Shinsuke,Lejter,F,585,7773214,LAKE GROVE,NY,11755,M,N
Hyeokman,Priami,M,240,6746779,BALTIMORE,MD,21224,S,Y
Sreekrishna,Rahmstorf,M,239,8783666,BRADENTON,FL,34201,M,N
Thoshiaki,Heemskerk,F,401,4375911,KENYON,RI,2836,S,Y
Atef,Dang,M,860,5694175,NEW HAVEN,CT,6513,M,Y
Savio,Morioka,F,225,7037675,SHREVEPORT,LA,71135,S,N
Jaihie,Kochetov,M,603,3979424,HANOVER,NH,3755,M,Y
Yohsuke,Grunupp,M,802,3718819,FRANKLIN,VT,5457,S,N
Sumitaka,Clemm,F,971,3011406,PORTLAND,OR,97286,M,N
Uday,Minot,F,567,1918044,AKRON,OH,44333,S,Y
Yuchen,Wahls,F,608,2003122,ARKDALE,WI,54613,M,N
Kamaljit,Tryba,M,785,3281374,SILVER LAKE,KS,66539,M,Y
Dinos,Lasala,M,662,9899037,MOUND BAYOU,MS,38762,M,N
Viljem,Blodel,F,804,5068812,MANAKIN SABOT,VA,23103,M,N
Rong,Kawakami,M,907,3106999,MEYERS CHUCK,AK,99903,S,Y
Yiwen,Kamo,M,864,3575439,PINEVILLE,SC,29468,M,N
Eiiti,Derthick,F,360,8699026,GRAPEVIEW,WA,98546,S,Y
Sigmund,Stauduhar,M,731,1213217,BROWNSVILLE,TN,38012,M,Y
Sreenivas,Poulin,M,316,2488889,HAVILAND,KS,67059,M,N
Hui,Rudmik,F,509,1866568,SPOKANE,WA,99213,M,Y
Bradley,Holldobler,F,816,9818225,CHESTERFIELD,MO,63006,S,N
Ivan,Abeln,M,802,2157893,EAST ARLINGTON,VT,5252,M,N
Pierpaolo,Knowles,M,913,7819910,WAKEENEY,KS,67672,M,N
Aria,Sutter,M,605,1072578,WHITEWOOD,SD,57793,M,Y
Anindya,Chubb,M,860,8624991,FARMINGTON,CT,6030,S,N
Dwifiandika,Cornell,M,802,1212417,RANDOLPH,VT,5060,M,Y
Huu,Artiges,F,617,5314862,BOSTON,MA,2207,S,Y
Reuven,Janocha,F,501,3422364,VENDOR,AR,72683,M,Y
