FName(String),LName(String),Gender(String),AreaCode(String),Phone(String),City(String),State(String),Zip(String),MaritalStatus(String),HasChild(String),SingleExemp(Integer),MarriedExemp(Integer),ChildExemp(Integer)
Kamal,Acketa,M,719,5678005,DENVER,CO,80203,S,N,0,0,0
Hubert,Smetana,F,620,2823816,AUBURN,KS,66402,S,N,2250,0,0
Leucio,Hiroyama,M,430,2104274,GOBER,TX,75443,S,N,0,0,0
Libor,Erva,M,615,6655882,LONE MOUNTAIN,TN,37773,M,Y,0,0,0
Gaby,Beoumes,F,228,5085356,JACKSON,MS,39225,S,N,6000,0,0
Zuliang,Yagi,F,701,3965916,WEST FARGO,ND,58078,S,N,3300,0,0
Thiel,Wongsaroje,F,603,1695612,PORTSMOUTH,NH,3804,M,Y,0,0,0
Cris,Wray,F,570,5303505,VINTONDALE,PA,15961,M,Y,0,0,0
Emmanuel,Braoudakis,F,603,5729022,GRANTHAM,NH,3753,S,Y,0,0,0
Shinkyu,Pinches,F,402,7943713,LINCOLN,NE,68504,M,Y,0,206,103
Vic,Morris,F,478,8307445,ATLANTA,GA,30380,M,Y,0,5400,3000
Changsik,Abe,F,716,1529301,NEW HARTFORD,NY,13413,M,N,0,0,0
Armond,Neuburg,M,605,1222278,GARY,SD,57237,S,Y,0,0,0
Sumeer,Benois,F,803,8142186,COLUMBIA,SC,29221,M,N,0,6600,0
Deniz,Cotta,M,775,4465163,HENDERSON,NV,89009,S,N,0,0,0
Max,Figueiredo,M,605,3371712,SIOUX FALLS,SD,57197,M,N,0,0,0
Karan,Staylopatis,F,503,5864496,SOUTH BEACH,OR,97366,M,N,0,318,0
Dannie,Pichetti,M,802,2039499,HUNTINGTON,VT,5462,S,Y,3300,0,3300
Kaichang,Woit,F,540,9832797,FAIRFAX,VA,22034,M,N,0,1800,0
Sarangan,Boville,M,843,3571258,COLUMBIA,SC,29215,M,Y,0,6600,3300
Yoshioki,Garnham,M,952,9709882,MOUNTAIN IRON,MN,55768,S,N,3300,0,0
Eckhard,Weatherhead,F,717,5333059,DEVON,PA,19333,M,Y,0,0,0
Theodore,Gomide,M,901,4144403,NIOTA,TN,37826,S,Y,0,0,0
Hongzhu,Buchholz,M,573,8933890,PORTAGE DES SIOUX,MO,63373,S,Y,2100,0,1200
Terrance,Galati,M,407,5276722,LAMONT,FL,32336,S,N,0,0,0
Erica,Keaton,F,503,8061455,PORTLAND,OR,97221,M,N,0,318,0
Shui,Blanning,M,347,8174988,MOHEGAN LAKE,NY,10547,M,N,0,0,0
Atte,Schnelling,M,304,3722786,SOD,WV,25564,M,Y,0,4000,2000
Meenakshi,Seguin,F,234,1004767,METAMORA,OH,43540,M,N,0,2600,0
Ken,Noonan,M,704,6261373,RURAL HALL,NC,27045,M,N,0,6600,0
Kriton,Waldschmidt,M,601,2982543,ACKERMAN,MS,39735,M,N,0,12000,0
Hyuk,Zyryanov,F,775,2386143,AUSTIN,NV,89310,S,Y,0,0,0
Takahira,Vierke,M,419,7769291,LAURELVILLE,OH,43135,M,Y,0,2600,1300
Asim,Parameswaran,F,401,6998220,PROVIDENCE,RI,2940,M,N,0,0,0
Amarnath,Layne,M,505,9626147,TEXICO,NM,88135,M,N,0,6600,0
Jianyang,Isbitz,F,605,1448164,SIOUX FALLS,SD,57118,S,N,0,0,0
Winnie,Strijk,M,712,5593549,MYSTIC,IA,52574,M,N,0,80,0
Joze,Bard,M,586,2111924,CHARLEVOIX,MI,49720,M,Y,0,6200,3100
Sonny,Tahe,F,601,2818641,BOYLE,MS,38730,M,N,0,12000,0
Kaylan,Shemesh,M,207,2165448,PARSONSFIELD,ME,4047,M,N,0,5700,0
Xiaoqun,Slaman,M,337,9246981,KEATCHIE,LA,71046,S,Y,4500,0,1000
Wuxu,Luzi,M,501,9713305,PARAGOULD,AR,72450,M,Y,0,40,20
Tyko,Bolbourn,M,606,9856258,FORT KNOX,KY,40121,M,Y,0,40,20
Sueli,Kobuchi,F,804,1287727,MANAKIN SABOT,VA,23103,S,Y,900,0,900
Erol,Terlouw,F,208,6801758,FIRTH,ID,83236,M,Y,0,6600,3300
Ric,Itzigehl,F,603,1246383,CENTER BARNSTEAD,NH,3225,M,N,0,0,0
Mingsen,Schlegel,F,770,8105698,ARGYLE,GA,31623,S,N,2700,0,0
Cis,Kamphusmann,F,317,7186958,EATON,IN,47338,S,N,1000,0,0
Nirad,Simos,M,605,9065945,ENNING,SD,57737,M,N,0,0,0
Toshinobu,Berqvist,F,843,9205473,NEW ELLENTON,SC,29809,S,N,3300,0,0
Daniel,Mittal,M,260,9244067,KIMMELL,IN,46760,S,N,1000,0,0
Unal,Delgrossi,M,603,3959436,DUNBARTON,NH,3046,M,N,0,0,0
Deepak,Monderer,F,912,3672345,ATLANTA,GA,30333,M,N,0,5400,0
Yuval,Jurtensen,F,608,6131631,POYNETTE,WI,53955,S,N,700,0,0
Alfons,Forcheri,M,931,5757576,ROCKFORD,TN,37853,S,Y,0,0,0
Djelloul,Aalborg,F,605,8605574,REE HEIGHTS,SD,57371,S,Y,0,0,0
Shoichi,Rogozhnikova,M,660,6907128,KANSAS CITY,MO,64165,M,Y,0,4200,1200
Salah,Rasse,F,775,1728147,MINA,NV,89422,M,Y,0,0,0
Shiafun,Stasinski,M,302,7516638,WILMINGTON,DE,19898,S,Y,110,0,110
Tokinori,Paijmans,M,270,5647443,CATLETTSBURG,KY,41129,M,N,0,40,0
Gabi,Figueiredo,F,479,9892454,BELLA VISTA,AR,72714,M,N,0,40,0
Miguel,Myers,F,787,9701226,SAN ANTONIO,PR,690,S,N,0,0,0
Takehiko,Barbanera,M,505,9147481,COLUMBUS,NM,88029,S,N,3300,0,0
Kevin,Bellmore,F,304,2021634,CHARLESTON,WV,25314,S,Y,2000,0,2000
Vassili,Preusig,M,864,4775077,ORANGEBURG,SC,29116,S,Y,3300,0,3300
Joann,Kruiskamp,M,541,8568845,JOHN DAY,OR,97845,M,Y,0,318,159
Aki,Vijayan,F,785,3771324,NEAL,KS,66863,S,Y,2250,0,2250
Uwe,Halevi,M,860,2358624,HARTFORD,CT,6123,S,Y,12750,0,0
Emilia,Dewal,M,307,1088492,LOVELL,WY,82431,M,Y,0,0,0
Justin,Taniar,M,302,5687137,SELBYVILLE,DE,19975,S,Y,110,0,110
Yike,Sigstam,M,228,4688649,NESBIT,MS,38651,M,Y,0,12000,1500
Edson,Utku,M,856,4884945,STOCKHOLM,NJ,7460,M,Y,0,2000,1500
Claas,Greenwald,M,701,6432088,CARSON,ND,58529,M,Y,0,6600,3300
Nariyasu,Nyce,M,504,4579327,NOBLE,LA,71462,M,N,0,9000,0
Jaques,Gerbig,M,401,2918620,PAWTUCKET,RI,2861,M,N,0,0,0
Tarik,Ratan,F,605,4004154,WITTEN,SD,57584,S,N,0,0,0
Bryant,Oberhuber,F,801,5739924,KOOSHAREM,UT,84744,S,N,2475,0,0
Taemin,Khamsi,M,830,6875411,HOUSTON,TX,77213,S,N,0,0,0
Allessandro,Wiseman,M,435,5278721,NORTH SALT LAKE,UT,84054,S,N,2475,0,0
Reginald,Koblitz,F,203,5208698,MERIDEN,CT,6454,M,N,0,24500,0
Jinya,Bala,F,334,4979609,ALEXANDER CITY,AL,35010,S,Y,1500,0,300
Teruya,Galdes,F,808,8622677,PAIA,HI,96779,M,N,0,2080,0
Dexter,Arden,F,878,8099761,WASHINGTON BORO,PA,17582,S,Y,0,0,0
Darko,Urbach,F,701,1347639,EGELAND,ND,58331,S,Y,3300,0,3300
Eberhardt,Kehtarnavaz,F,401,7563333,WYOMING,RI,2898,S,Y,0,0,0
Shimeng,Oehlmann,F,202,9116631,WASHINGTON,DC,20521,M,N,0,2740,0
Eero,Quiniou,M,610,6202218,HILLER,PA,15444,S,Y,0,0,0
Dionysis,Ogielski,F,701,1118903,HUNTER,ND,58048,S,Y,3300,0,3300
HweeHwa,Dyckhoff,F,701,3511233,REYNOLDS,ND,58275,S,N,3300,0,0
Ubbo,MacNair,M,910,2946428,ASHEVILLE,NC,28810,M,N,0,6600,0
Elsa,Iwadera,M,410,9274939,ELLICOTT CITY,MD,21041,M,N,0,4800,0
Guogen,Fermuller,F,605,5912250,ARTESIAN,SD,57314,S,Y,0,0,0
Kacem,Davarian,F,623,7833490,DUNCAN,AZ,85534,M,Y,0,4200,2300
Slobodan,Schirra,F,401,9179718,SLATERSVILLE,RI,2876,S,Y,0,0,0
Alfredo,Speranza,M,585,4242562,BERKSHIRE,NY,13736,M,Y,0,0,1000
Yon,Herberle,M,206,7256662,BEVERLY,WA,99321,M,Y,0,0,0
Lou,Diekert,F,843,6346957,SUMMERVILLE,SC,29483,S,N,3300,0,0
Manrique,Chappell,M,802,4718272,WARREN,VT,5674,S,N,3300,0,0
Takehiko,Felgentreu,M,802,1348052,WORCESTER,VT,5682,M,Y,0,6600,3300
Mingshang,Prenel,M,973,2126638,ALLAMUCHY,NJ,7820,M,N,0,2000,0
Hermano,Chenoweth,F,614,1852430,BROOKFIELD,OH,44403,S,Y,1300,0,1300
Alvin,Poesio,M,812,8939578,INDIANAPOLIS,IN,46211,S,N,1000,0,0
Tsuneyo,Wavrik,M,907,3853938,PILOT POINT,AK,99649,S,N,0,0,0
Wael,Yeom,F,907,3434626,ANCHORAGE,AK,99507,M,Y,0,0,0
Ahish,Button,F,217,1002064,ENFIELD,IL,62835,S,Y,2000,0,2000
Burke,Bien,F,307,9314905,BURLINGTON,WY,82411,S,Y,0,0,0
Maytham,Luck,M,302,6717344,ELLENDALE,DE,19941,S,Y,110,0,110
Jinxi,Rosenblum,F,971,4885817,ROSEBURG,OR,97470,S,Y,159,0,159
Joaquim,Salman,F,504,2588356,ARCADIA,LA,71001,S,Y,4500,0,1000
Lei,Aberg,F,253,8645317,IONE,WA,99139,M,Y,0,0,0
Janine,Sohoni,F,202,7751593,WASHINGTON,DC,20214,S,N,1370,0,0
Raid,Cavendish,F,336,7032394,SPENCER,NC,28159,M,Y,0,6600,3300
Vaishnavi,Pocchiola,M,203,2666626,HARTFORD,CT,6153,S,Y,12750,0,0
Lou,Kleinschmidt,F,623,5693025,SCOTTSDALE,AZ,85255,M,Y,0,4200,2300
Kirsteen,VanderMeer,F,425,9241814,ADDY,WA,99101,S,N,0,0,0
Nadene,Abbasi,F,505,6962175,ALBUQUERQUE,NM,87187,M,Y,0,6600,3300
Hovav,Matteis,F,907,9615808,CANTWELL,AK,99729,M,Y,0,0,0
Wakaha,Micheaux,F,603,7314484,NEWTON JUNCTION,NH,3859,M,N,0,0,0
Katerina,Dou,M,610,1234420,MORTON,PA,19070,S,Y,0,0,0
Shailendra,Marakakis,M,414,4735625,ORFORDVILLE,WI,53576,M,N,0,1400,0
Dhananjai,Magnusson,F,651,2655234,OGEMA,MN,56569,S,N,3300,0,0
Akihiko,Date,F,303,5111861,MANASSA,CO,81141,S,Y,0,0,0
Viswanath,Pilote,F,775,2199229,MC GILL,NV,89318,S,Y,0,0,0
Mads,Kubicka,M,907,3911486,TUNUNAK,AK,99681,S,N,0,0,0
Dianxiang,Kane,M,530,2108578,REDDING,CA,96099,M,N,0,174,0
Gavan,Gwertzman,F,515,9903063,ARLINGTON,IA,50606,S,Y,40,0,40
Natacha,Kaiser,M,605,5412474,KRANZBURG,SD,57245,M,Y,0,0,0
Adrienne,Purna,M,605,3062098,HERRICK,SD,57538,S,Y,0,0,0
Tomohiko,Babinski,M,919,4378250,KITTY HAWK,NC,27949,M,N,0,6600,0
Dominic,Kupiec,M,614,5102809,MALTA,OH,43758,S,Y,1300,0,1300
Luciano,Collier,M,336,5477539,DAVIDSON,NC,28035,M,N,0,6600,0
Siddharthan,Flatley,F,937,6651007,BRUNSWICK,OH,44212,S,N,1300,0,0
Dallan,Reed,M,708,9344129,CHICAGO,IL,60644,M,Y,0,4000,2000
Yechezkel,Globig,M,301,1694219,LA PLATA,MD,20646,M,N,0,4800,0
Tatsurou,Tsotras,F,618,9918073,LA GRANGE PARK,IL,60526,M,N,0,4000,0
Chinmoy,Spier,M,515,5776351,DES MOINES,IA,50333,S,N,40,0,0
Tejo,Butter,F,615,7453042,ELKTON,TN,38455,M,N,0,0,0
Yosee,Sartore,M,417,5928159,SAINT LOUIS,MO,63145,S,N,2100,0,0
Berni,Wendorf,F,774,3443531,EVERETT,MA,2149,M,N,0,7150,0
Yungho,Zapatrin,M,878,6352984,PENN RUN,PA,15765,S,N,0,0,0
Ghulum,Benoit,M,775,9118472,SILVERPEAK,NV,89047,M,N,0,0,0
Marney,Benaloh,F,317,4594204,MARYSVILLE,IN,47141,S,N,1000,0,0
Kyungwol,Voiskunskii,M,843,2499302,AIKEN,SC,29801,S,N,3300,0,0
Wieland,Schonhut,M,228,8287430,POTTS CAMP,MS,38659,S,Y,6000,0,1500
Tasuro,Czech,M,770,4259135,PITTS,GA,31072,M,N,0,5400,0
Giang,Raeithel,M,808,6658632,HONOLULU,HI,96806,S,N,1040,0,0
Rade,Sagonas,M,505,6028444,ARREY,NM,87930,M,Y,0,6600,3300
Renate,English,M,808,2817682,HONOLULU,HI,96850,S,Y,1040,0,1040
Ady,Zohar,F,567,1853745,DALTON,OH,44618,S,N,1300,0,0
Yulan,Bleistein,M,605,5675737,LENNOX,SD,57039,S,Y,0,0,0
Meera,Scofield,M,918,2069335,HEADRICK,OK,73549,M,N,0,2000,0
Shahab,Bast,M,208,4246541,NAMPA,ID,83653,M,Y,0,6600,3300
Annette,Conheeney,M,410,5413580,GAITHERSBURG,MD,20898,S,N,2400,0,0
Hussam,Woll,F,702,9763144,DAYTON,NV,89403,M,N,0,0,0
Nobuhisa,Holenderski,F,703,2359638,LYNCHBURG,VA,24502,M,Y,0,1800,900
Brice,Bruso,M,904,5639879,TALLAHASSEE,FL,32399,S,Y,0,0,0
Yoshifumi,Pitteway,F,304,7421405,CHARLESTON,WV,25323,S,N,2000,0,0
Hyongmuk,Ruger,F,304,9683906,GLEN,WV,25088,M,Y,0,4000,2000
Thies,Hodes,M,502,4291056,FREEBURN,KY,41528,M,N,0,40,0
Rok,Lawry,M,802,8989620,BOMOSEEN,VT,5732,M,N,0,6600,0
Gurushankar,Ireland,M,207,2751430,ATHENS,ME,4912,S,Y,2850,0,2850
Sachiko,Abdelmoty,F,571,6602759,BARHAMSVILLE,VA,23011,S,Y,900,0,900
Chongjiang,Palaniappan,M,563,8614822,DEDHAM,IA,51440,S,N,40,0,0
Genta,Bedard,M,203,4972503,NEWINGTON,CT,6111,S,N,12750,0,0
Xuejia,Can,M,484,1809433,BROAD TOP,PA,16621,S,Y,0,0,0
Junho,Sylor,F,605,1629380,SIOUX FALLS,SD,57104,M,Y,0,0,0
Sanjaya,Mongenet,F,505,9464960,MIMBRES,NM,88049,S,N,3300,0,0
Amane,Sankaranarayanan,F,603,1314987,MILTON MILLS,NH,3852,M,N,0,0,0
Kriton,Gamerman,M,765,9396745,ELNORA,IN,47529,M,N,0,2000,0
Yulun,Bratvold,F,479,9574888,GLENWOOD,AR,71943,S,N,20,0,0
Kejun,Pinto,M,970,5352156,DENVER,CO,80223,M,N,0,0,0
Shigeyoshi,Junkin,M,901,3674634,LYNCHBURG,TN,37352,S,Y,0,0,0
Reinout,Doroslovacki,F,203,2587192,KENT,CT,6757,S,N,12750,0,0
Gouhua,Chi,M,360,6823135,SPANGLE,WA,99031,S,Y,0,0,0
Darwyn,Banare,M,857,6979208,DOVER,MA,2030,S,N,3575,0,0
Xingbin,Kohen,F,701,8743461,MYLO,ND,58353,M,Y,0,6600,3300
Koichi,Chandhok,F,505,5241917,SAN FIDEL,NM,87049,S,Y,3300,0,3300
Rajnish,Pasztor,F,605,3968928,SIOUX FALLS,SD,57193,S,Y,0,0,0
Alfonso,Alpay,F,203,6892985,BRIDGEPORT,CT,6650,M,N,0,24500,0
Eishiro,Give on,F,503,5809036,BANDON,OR,97411,M,Y,0,318,159
Quinzheng,Quiroz,M,541,5817001,ELGIN,OR,97827,S,Y,159,0,159
Lisa,Justus,M,320,2166462,CLONTARF,MN,56226,M,Y,0,6600,3300
Esin,Fleckenstein,F,701,3327934,CRARY,ND,58327,M,Y,0,6600,3300
Youseek,Pangrle,F,203,7116768,NORWALK,CT,6858,M,N,0,24500,0
Katashi,Gouy,M,304,1526531,GREEN SPRING,WV,26722,S,Y,2000,0,2000
Britta,Wenocur,M,412,5095406,TELFORD,PA,18969,M,Y,0,0,0
Supriya,Schervish,M,801,6796526,NEW HARMONY,UT,84757,M,Y,0,4950,2475
Nabih,Carta,F,772,9241956,HIALEAH,FL,33013,M,N,0,0,0
Appie,Babin,M,505,1296200,VALDEZ,NM,87580,S,Y,3300,0,3300
Joost,Straubing,F,256,8911644,COALING,AL,35449,M,Y,0,3000,300
Moustafa,Veretennikov,F,712,6322979,AYRSHIRE,IA,50515,M,Y,0,80,40
Hilmar,Reusch,M,787,2768357,TRUJILLO ALTO,PR,977,S,Y,0,0,0
Annig,Joswig,F,603,4984709,WEST PETERBOROUGH,NH,3468,M,Y,0,0,0
Octavio,Jindal,F,623,1716493,TUCSON,AZ,85713,S,Y,2100,0,2300
Michela,Sidje,M,518,3154452,BROCKPORT,NY,14420,M,N,0,0,0
Avishai,Padiou,F,712,3184872,DES MOINES,IA,50313,M,N,0,80,0
Jesse,Trivett,F,775,3209236,SPARKS,NV,89441,S,Y,0,0,0
Nishit,Elwell,F,802,8782315,MONTPELIER,VT,5609,M,Y,0,6600,3300
Vlado,Baudin,F,480,4014846,MESA,AZ,85213,S,N,2100,0,0
Frieda,Pole,F,505,8319975,COCHITI LAKE,NM,87083,M,N,0,6600,0
Baocai,Ballin,F,202,6318900,WASHINGTON,DC,20549,M,Y,0,2740,1370
Yosef,Boughanem,M,971,2642951,RIVERSIDE,OR,97917,M,N,0,318,0
Yoshitsugu,Ludolph,M,551,8874806,HANCOCKS BRIDGE,NJ,8038,S,Y,1000,0,1500
Zalman,Irshid,F,602,5411849,MESA,AZ,85277,M,N,0,4200,0
Frederich,Isles,F,256,2053893,SECTION,AL,35771,M,N,0,3000,0
Kazuyasu,Chvalosky,M,603,2584264,LOCHMERE,NH,3252,M,N,0,0,0
Hachemi,Kakuma,M,508,8959852,DUXBURY,MA,2332,S,N,3575,0,0
Rarrell,Azevedo,M,309,6322452,CHAMPAIGN,IL,61820,M,Y,0,4000,2000
Kimaya,Fanty,M,931,2998227,HALLS,TN,38040,M,Y,0,0,0
Parris,Servieres,F,802,6867580,SHEFFIELD,VT,5866,S,Y,3300,0,3300
Jonah,Bachem,M,307,5503687,WHEATLAND,WY,82201,S,Y,0,0,0
Megan,Cosoroaba,M,971,1254888,PORTLAND,OR,97210,S,Y,159,0,159
Kassem,Scharstein,F,862,2738782,COOKSTOWN,NJ,8511,S,Y,1000,0,1500
Madhavan,Tsiolis,F,630,4764054,GREENVILLE,IL,62246,M,Y,0,4000,2000
Jide,Bayoumi,F,505,5158041,CLOUDCROFT,NM,88317,M,N,0,6600,0
Carme,Cantu,F,714,1174892,SUNOL,CA,94586,M,N,0,174,0
Karina,Milojicic,F,319,5475194,DANA,IA,50064,S,N,40,0,0
Souichi,Martschew,M,787,9728051,DORADO,PR,646,S,Y,0,0,0
Saewoong,Cannon,F,540,1676245,CHURCHVILLE,VA,24421,S,Y,900,0,900
Ken ichi,Laakso,F,708,2172229,WAPELLA,IL,61777,M,Y,0,4000,2000
Shozo,d Alcantara,M,816,3919924,HARRIS,MO,64645,S,Y,2100,0,1200
Zakarriae,Minoura,F,702,7227713,LAS VEGAS,NV,89124,S,Y,0,0,0
Makram,Palmore,F,719,8782684,CONIFER,CO,80433,S,N,0,0,0
Zarko,Utku,M,757,6535366,LOCUST HILL,VA,23092,S,Y,900,0,900
Cecile,Roncato,F,301,2571531,SUNDERLAND,MD,20689,M,Y,0,4800,2400
Tassadit,Duquenne,M,906,5084599,KALAMAZOO,MI,49004,M,Y,0,6200,3100
Kaisa,Hikichi,F,954,9372913,DELRAY BEACH,FL,33444,M,Y,0,0,0
Kanchana,Dharanipragada,M,443,2019604,WASHINGTON GROVE,MD,20880,M,N,0,4800,0
Renate,Thomasset,M,757,6018402,URBANNA,VA,23175,S,Y,900,0,900
Bikash,Papachristidis,M,337,5924879,BLANCHARD,LA,71009,M,N,0,9000,0
Yiyun,Azulay,F,276,6817345,ATLANTIC,VA,23303,S,N,900,0,0
Eduardus,Lipinski,M,607,7325939,WARRENSBURG,NY,12885,M,Y,0,0,1000
Clares,Koprowski,M,406,5433428,MISSOULA,MT,59803,S,Y,1900,0,1900
HongJiang,Boi,F,401,6099278,PROVIDENCE,RI,2901,S,Y,0,0,0
Tmima,Maksimenko,F,907,3613449,LOWER KALSKAG,AK,99626,S,N,0,0,0
LiWu,Dyckhoff,M,907,2126290,CIRCLE,AK,99733,M,N,0,0,0
Bogdan,Bird,M,605,1703144,TRENT,SD,57065,M,N,0,0,0
Raph,Tompa,M,603,5713614,MONT VERNON,NH,3057,M,N,0,0,0
Barbee,Scardovelli,F,603,4523988,GLEN,NH,3838,M,N,0,0,0
Hiroyuki,Messina,M,405,9027883,STRANG,OK,74367,M,Y,0,2000,1000
Dharma,Haskins,M,847,4848815,ARROWSMITH,IL,61722,S,Y,2000,0,2000
Beat,Pokrovskii,F,704,4886896,ROANOKE RAPIDS,NC,27870,S,N,3300,0,0
Subhankar,Strausfeld,M,907,3567266,PELICAN,AK,99832,M,Y,0,0,0
Anja,Appelfeller,M,518,8335580,CHADWICKS,NY,13319,S,N,0,0,0
Miodrag,Bellotti,F,907,5997061,TANACROSS,AK,99776,S,Y,0,0,0
Aiichiro,Deverell,F,860,8595511,PLYMOUTH,CT,6782,S,N,12750,0,0
Hitofumi,Utku,F,636,9427715,SAINT LOUIS,MO,63196,M,N,0,4200,0
Noelle,Forre,M,435,7599394,HEBER CITY,UT,84032,M,Y,0,4950,2475
Kazufumi,Potorti,M,828,9349949,HALLSBORO,NC,28442,M,N,0,6600,0
Prabhakar,Brundage,F,802,3577100,ENOSBURG FALLS,VT,5450,M,N,0,6600,0
Graziano,Clenshaw,F,808,8383072,KEKAHA,HI,96752,M,Y,0,2080,1040
Jalel,Mokryn,M,406,2179421,TROUT CREEK,MT,59874,S,Y,1900,0,1900
Manvinder,Edupuganty,M,620,3925836,WICHITA,KS,67226,S,Y,2250,0,2250
Ericka,Demian,F,814,1335296,HUSTONTOWN,PA,17229,M,N,0,0,0
Doohun,Yokomizo,F,859,4188948,CANE VALLEY,KY,42720,M,N,0,40,0
Atsushi,Groenboom,M,302,6583453,NEWARK,DE,19711,S,N,110,0,0
Baback,Stefani,F,985,7566549,LIBUSE,LA,71348,S,N,4500,0,0
Nikil,Goodenday,M,540,5259727,STRATFORD,VA,22558,S,N,900,0,0
Ehric,Dolins,F,939,7565373,SAN JUAN,PR,925,M,Y,0,0,0
Rosziati,Scheibelhut,M,781,8811862,AMHERST,MA,1002,M,Y,0,7150,1000
Garret,Haraldsson,M,701,7261437,LIGNITE,ND,58752,M,Y,0,6600,3300
Redha,Smolensky,F,337,6353347,NEW ORLEANS,LA,70119,M,Y,0,9000,1000
Mandana,Boari,F,412,7002843,LANCASTER,PA,17605,S,N,0,0,0
Ahmad,Hanakawa,F,541,5307041,WELCHES,OR,97067,S,Y,159,0,159
Yakkov,Lutterkort,F,207,2321334,LEE,ME,4455,M,Y,0,5700,2850
Saddek,Rathonyi,F,623,6997927,PEORIA,AZ,85380,M,Y,0,4200,2300
Khaled,Vidya,M,864,5916337,COLUMBIA,SC,29230,S,Y,3300,0,3300
Patsy,Jarecki,M,774,9757019,ORANGE,MA,1364,M,Y,0,7150,1000
Akis,Hollenbeck,M,276,5908019,HILLSVILLE,VA,24343,M,Y,0,1800,900
Jia,Garnier,F,770,7417473,HOSCHTON,GA,30548,M,Y,0,5400,3000
Shuky,Torquati,M,516,4616512,CLARKSVILLE,NY,12041,S,Y,0,0,1000
Junzo,Anlauff,M,551,5074451,MARLTON,NJ,8053,S,N,1000,0,0
Maitreya,Honiden,F,336,3936915,MIDWAY PARK,NC,28544,S,N,3300,0,0
Cecily,Metze,F,939,8367439,QUEBRADILLAS,PR,678,M,Y,0,0,0
Hariolf,Royce,F,787,1231324,SAN JUAN,PR,913,S,Y,0,0,0
Rockford,Backelin,M,317,1432472,TERRE HAUTE,IN,47804,M,N,0,2000,0
Panayiotis,Conti,M,865,5824299,MEMPHIS,TN,38136,M,Y,0,0,0
Charly,Hitson,M,520,5886077,HOUCK,AZ,86506,S,Y,2100,0,2300
Amilcar,Syang,M,602,3625539,PHOENIX,AZ,85067,S,N,2100,0,0
Harriet,Berleant,M,901,3065118,DYERSBURG,TN,38024,M,Y,0,0,0
Kinson,Metallidou,F,914,4322563,HIGHLAND FALLS,NY,10928,S,N,0,0,0
Ambuj,Lofaso,M,302,8708460,NEW CASTLE,DE,19720,S,N,110,0,0
Leandros,Challenger,F,580,9054187,MUSKOGEE,OK,74403,S,Y,1000,0,1000
Kip,Campr,F,270,9106329,BEECH GROVE,KY,42322,S,N,20,0,0
Alexandros,Tokunaga,F,270,7849896,WEST POINT,KY,40177,M,Y,0,40,20
Frederique,Colgate,M,970,3923136,FRISCO,CO,80443,S,Y,0,0,0
Costas,Spelke,F,479,1348007,NEWHOPE,AR,71959,S,N,20,0,0
Dharma,Kupper,M,808,4214671,WHEELER ARMY AIRFIELD,HI,96854,M,N,0,2080,0
Kincho,Rish,M,763,2813689,KENSINGTON,MN,56343,S,Y,3300,0,3300
Asham,Radi,M,808,3104322,OCEAN VIEW,HI,96737,S,N,1040,0,0
Antonella,Lofaso,F,504,4169991,WEST MONROE,LA,71294,M,N,0,9000,0
Dace,Spell,M,907,3762186,TOK,AK,99779,M,Y,0,0,0
Zygmunt,Heiser,F,804,9364169,BLACKSBURG,VA,24061,S,Y,900,0,900
Elissa,Petri,F,307,8028285,HILAND,WY,82638,M,N,0,0,0
Hinrich,Zallocco,F,769,6245840,GREENVILLE,MS,38701,S,Y,6000,0,1500
Yuanhui,Kruys,F,804,7351830,HARRISONBURG,VA,22803,S,Y,900,0,900
Tomonobu,Raeithel,M,208,1208734,KUNA,ID,83634,M,Y,0,6600,3300
Sozo,Gronski,F,701,9099805,ANETA,ND,58212,M,N,0,6600,0
Virgilio,Salveter,F,701,8566329,CANNON BALL,ND,58528,S,N,3300,0,0
Sakir,Pileggi,M,769,2077435,MOOREVILLE,MS,38857,S,N,6000,0,0
Jaime,Sluizer,M,845,3216948,PORT WASHINGTON,NY,11051,S,N,0,0,0
Masanobu,Ramamoorthy,M,870,9218806,CLARKRIDGE,AR,72623,S,N,20,0,0
Carme,Neukirchner,F,567,4692889,CINCINNATI,OH,45220,S,N,1300,0,0
Derek,Lovasz,F,260,9077023,JEFFERSONVILLE,IN,47199,S,Y,1000,0,1000
Clarence,Gyimothy,M,772,3801686,SAINT PETERSBURG,FL,33730,M,N,0,0,0
Edyta,Collberg,M,941,3409973,INVERNESS,FL,34451,S,Y,0,0,0
Shigetaka,Dileva,M,912,1785572,PITTS,GA,31072,M,N,0,5400,0
Henke,Ramnath,F,620,8169694,GAYLORD,KS,67638,M,N,0,4500,0
Theis,Hemaspaandra,M,574,8032090,SOUTH MILFORD,IN,46786,S,N,1000,0,0
Zhengyan,Doukas,F,207,5356863,SHERIDAN,ME,4775,S,Y,2850,0,2850
Elyse,Westby,M,801,5074429,THOMPSON,UT,84540,M,Y,0,4950,2475
Bezalel,Puryear,M,757,8659117,FORT VALLEY,VA,22652,M,Y,0,1800,900
Constantino,Pollermann,M,931,9021284,MEMPHIS,TN,38135,M,Y,0,0,0
Nilanjan,Joichi,F,307,9807633,TEN SLEEP,WY,82442,M,N,0,0,0
Aurobindo,Cusack,M,615,6837672,CHARLOTTE,TN,37036,S,N,0,0,0
